NPWP9_Masking,TAHUN_PETA,NAMA_WP_Masking,NAMA_KPP,NAMA_KANWIL,JENIS_WP,X_001,X_002,X_003,X_004,X_005,X_006,X_007,Y_001,Y_002,SKOR_X,SKOR_Y,KUADRAN_X,KUADRAN_Y,KUADRAN,LEVEL_RISIKO
NPWP_245,2022,Wajib Pajak 245,KPP Pratama Jakarta Kemayoran,Kanwil DJP Jakarta Pusat,OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_030,2022,Wajib Pajak 030,KPP Madya Dua Semarang,Kanwil DJP Jawa Tengah I,BADAN,1.0,0.0,0.0,0.0,0.7906791890784306,0.4691833123636368,0.0,0.0,228497461529.0,1.0,228497461529.0,3,3,X3Y3,Tinggi
NPWP_244,2022,Wajib Pajak 244,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_243,2022,Wajib Pajak 243,KPP Pratama Semarang Barat,Kanwil DJP Jawa Tengah I,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.1512936092388212,0.0,0.0,0.05,0.0,2,1,X2Y1,Rendah
NPWP_031,2022,Wajib Pajak 031,KPP Pratama Binjai,Kanwil DJP Sumatera Utara I,BADAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_242,2022,Wajib Pajak 242,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_241,2022,Wajib Pajak 241,KPP Pratama Jakarta Cilandak,Kanwil DJP Jakarta Selatan II,OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_240,2022,Wajib Pajak 240,KPP Pratama Gianyar,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_239,2022,Wajib Pajak 239,KPP Pratama Kotamobagu,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_238,2022,Wajib Pajak 238,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_032,2022,Wajib Pajak 032,KPP Madya Denpasar,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,1.1431076386552703,0.7153811597320747,0.22,0.0,443907332664.0,0.9833333333333332,443907332664.0,3,3,X3Y3,Tinggi
NPWP_237,2022,Wajib Pajak 237,KPP Pratama Tabanan,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_236,2022,Wajib Pajak 236,KPP Pratama Sleman,Kanwil DJP Daerah Istimewa Yogyakarta,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_235,2022,Wajib Pajak 235,KPP Pratama Gianyar,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430378484.9605002,0.0,0.0,1430378484.9605002,1,3,X1Y3,Sedang
NPWP_234,2022,Wajib Pajak 234,KPP Pratama Kupang,Kanwil DJP Nusa Tenggara,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_233,2022,Wajib Pajak 233,KPP Pratama Balige,Kanwil DJP Sumatera Utara II,BADAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_232,2022,Wajib Pajak 232,KPP Pratama Jakarta Kebon Jeruk Satu,Kanwil DJP Jakarta Barat,BADAN,0.0,0.0,0.0,0.0,0.0,0.0687742288314732,0.0,0.0,0.0,0.6101111111111112,0.0,3,1,X3Y1,Sedang
NPWP_231,2022,Wajib Pajak 231,KPP Pratama Denpasar Timur,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_230,2022,Wajib Pajak 230,KPP Pratama Bitung,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_033,2022,Wajib Pajak 033,KPP Madya Malang,Kanwil DJP Jawa Timur III,BADAN,1.0,0.0,0.0,0.0,0.9577010477723538,0.5218194773839204,0.0,951509556.399994,19159030787.0,0.9866666666666668,19159030787.0,3,3,X3Y3,Tinggi
NPWP_229,2022,Wajib Pajak 229,KPP Pratama Tabanan,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,0.0,0.5463631470840611,0.2048329548113471,903578969456.7177,0.0,0.9666666666666668,903578969456.7177,3,3,X3Y3,Tinggi
NPWP_034,2022,Wajib Pajak 034,KPP Pratama Tabanan,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0,0.394760812999254,0.11,2568468556.8,0.0,0.4778888888888889,2568468556.8,2,3,X2Y3,Tinggi
NPWP_035,2022,Wajib Pajak 035,KPP Pratama Tabanan,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,235.06366307541623,0.0066594655100041,0.0,0.0,2200000000.0,0.68,2200000000.0,3,3,X3Y3,Tinggi
NPWP_228,2022,Wajib Pajak 228,KPP Pratama Kupang,Kanwil DJP Nusa Tenggara,BADAN,0.0,0.0,0.0,0.0,0.0,0.3958409098370747,0.0,1001639604.0,0.0,0.9312222222222224,1001639604.0,3,3,X3Y3,Tinggi
NPWP_227,2022,Wajib Pajak 227,KPP Pratama Kotamobagu,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_226,2022,Wajib Pajak 226,KPP Pratama Jakarta Grogol Petamburan,Kanwil DJP Jakarta Barat,BADAN,0.0,1.0,0.0,0.0,0.0,0.5973462568105037,0.0,0.0,0.0,0.615,0.0,3,1,X3Y1,Sedang
NPWP_225,2022,Wajib Pajak 225,KPP Pratama Semarang Barat,Kanwil DJP Jawa Tengah I,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_224,2022,Wajib Pajak 224,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,0.0373079446323011,0.1995264381009245,0.1508541513627693,0.0,37728079.0,0.9066666666666666,37728079.0,3,1,X3Y1,Sedang
NPWP_036,2022,Wajib Pajak 036,KPP Madya Dua Semarang,Kanwil DJP Jawa Tengah I,BADAN,0.0,0.0,0.0,0.0,1.4284869761930332,0.6425608221023449,0.22,0.0,297129081405.0,0.9933333333333332,297129081405.0,3,3,X3Y3,Tinggi
NPWP_223,2022,Wajib Pajak 223,KPP Pratama Kupang,Kanwil DJP Nusa Tenggara,BADAN,0.0,0.0,0.0,0.0,0.0,0.3575643076680589,0.11,5071868700.0,0.0,0.4778888888888889,5071868700.0,2,3,X2Y3,Tinggi
NPWP_222,2022,Wajib Pajak 222,KPP Pratama Tanjung Pinang,Kanwil DJP Kepulauan Riau,BADAN,0.0,0.0,0.0,0.0435047934014449,0.0,0.2435595355140186,0.11,0.0,0.0,0.0533333333333333,0.0,2,1,X2Y1,Rendah
NPWP_221,2022,Wajib Pajak 221,KPP Pratama Kotamobagu,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",BADAN,0.0,0.0,0.0,0.0,0.0,0.4016095587181978,0.22,0.0,225861784.0,1.0,225861784.0,3,2,X3Y2,Tinggi
NPWP_220,2022,Wajib Pajak 220,KPP Pratama Jakarta Kebayoran Baru Dua,Kanwil DJP Jakarta Selatan II,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_219,2022,Wajib Pajak 219,KPP Pratama Manado,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",BADAN,0.0,1.0,0.0,0.0,0.0,0.2328733235087322,0.0,0.0,0.0,0.32,0.0,2,1,X2Y1,Rendah
NPWP_218,2022,Wajib Pajak 218,KPP Pratama Denpasar Barat,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,0.0442452205699515,0.1134705004836222,0.0,8826855682.0,528298800.0,0.9433333333333334,8826855682.0,3,3,X3Y3,Tinggi
NPWP_039,2022,Wajib Pajak 039,KPP Madya Denpasar,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,0.2741274675448517,0.4973989245482935,0.22,0.0,358164110214.0,1.0,358164110214.0,3,3,X3Y3,Tinggi
NPWP_217,2022,Wajib Pajak 217,KPP Madya Dua Jakarta Barat,Kanwil DJP Jakarta Barat,BADAN,0.0,0.0,0.0,0.0,0.0,0.4241823401444644,0.0,0.0,15454545.0,0.9112222222222224,15454545.0,3,1,X3Y1,Sedang
NPWP_216,2022,Wajib Pajak 216,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_215,2022,Wajib Pajak 215,KPP Pratama Kotamobagu,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_214,2022,Wajib Pajak 214,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0,0.3161999991977041,0.11,568238172.0,0.0,0.3128888888888889,568238172.0,2,2,X2Y2,Sedang
NPWP_040,2022,Wajib Pajak 040,KPP Pratama Tegal,Kanwil DJP Jawa Tengah I,BADAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_213,2022,Wajib Pajak 213,KPP Pratama Makassar Utara,"Kanwil DJP Sulawesi Selatan, Barat, dan Tenggara",BADAN,0.0,0.0,0.0,0.0,0.0,0.3494510048055024,0.11,0.0,0.0,0.4395555555555556,0.0,2,1,X2Y1,Rendah
NPWP_041,2022,Wajib Pajak 041,KPP Pratama Semarang Gayamsari,Kanwil DJP Jawa Tengah I,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_042,2022,Wajib Pajak 042,KPP Pratama Bitung,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",BADAN,1.0,0.0,0.0,0.0,0.0,0.0772587794937705,0.0,0.0,0.0,0.885,0.0,3,1,X3Y1,Sedang
NPWP_211,2022,Wajib Pajak 211,KPP Pratama Serang Timur,Kanwil DJP Banten,BADAN,0.0,0.0,0.0,0.0,0.0,0.07412772763518,0.22,0.0,0.0,0.9994444444444444,0.0,3,1,X3Y1,Sedang
NPWP_210,2022,Wajib Pajak 210,KPP Pratama Kotamobagu,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_209,2022,Wajib Pajak 209,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0302009096274976,0.7225375207099071,0.1993497239430415,0.0,1047233585.0,0.94,1047233585.0,3,3,X3Y3,Tinggi
NPWP_208,2022,Wajib Pajak 208,KPP Pratama Kotamobagu,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_207,2022,Wajib Pajak 207,KPP Pratama Sidoarjo Utara,Kanwil DJP Jawa Timur II,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_206,2022,Wajib Pajak 206,KPP Pratama Bitung,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",BADAN,0.0,0.0,0.0,0.0,0.0,0.1038018541310541,0.11,7200000.0,0.0,0.2901111111111111,7200000.0,2,1,X2Y1,Rendah
NPWP_205,2022,Wajib Pajak 205,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8055600.0,0.0,0.0,8055600.0,1,1,X1Y1,Rendah
NPWP_204,2022,Wajib Pajak 204,KPP Pratama Manado,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",BADAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_203,2022,Wajib Pajak 203,KPP Pratama Badung Utara,Kanwil DJP Bali,OP NON KARYAWAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0561517526160198,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_202,2022,Wajib Pajak 202,KPP Pratama Bitung,"Kanwil DJP Sulawesi Utara, Tengah, Gorontalo, dan Maluku Utara",BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_201,2022,Wajib Pajak 201,KPP Pratama Balikpapan Barat,Kanwil DJP Kalimantan Timur dan Utara,OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_043,2022,Wajib Pajak 043,KPP Madya Denpasar,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0003175319641873,0.194837534478295,0.0,27725034619.0,18140369.0,0.5634444444444444,27725034619.0,3,3,X3Y3,Tinggi
NPWP_200,2022,Wajib Pajak 200,KPP Pratama Denpasar Timur,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_044,2022,Wajib Pajak 044,KPP Madya Dua Semarang,Kanwil DJP Jawa Tengah I,BADAN,0.0,0.0,0.0,0.0,0.0,0.1735701055236556,0.22,51022188000.0,0.0,0.8427777777777777,51022188000.0,3,3,X3Y3,Tinggi
NPWP_199,2022,Wajib Pajak 199,KPP Pratama Cibinong,Kanwil DJP Jawa Barat III,BADAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_198,2022,Wajib Pajak 198,KPP Pratama Medan Barat,Kanwil DJP Sumatera Utara I,BADAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_197,2022,Wajib Pajak 197,KPP Pratama Medan Belawan,Kanwil DJP Sumatera Utara I,OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_196,2022,Wajib Pajak 196,KPP Pratama Jakarta Kembangan,Kanwil DJP Jakarta Barat,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_195,2022,Wajib Pajak 195,KPP Pratama Surabaya Sukomanunggal,Kanwil DJP Jawa Timur I,OP NON KARYAWAN,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_187,2022,Wajib Pajak 187,KPP Pratama Sidoarjo Barat,Kanwil DJP Jawa Timur II,OP NON KARYAWAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_186,2022,Wajib Pajak 186,KPP Pratama Jakarta Grogol Petamburan,Kanwil DJP Jakarta Barat,OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_185,2022,Wajib Pajak 185,KPP Pratama Bandung Cibeunying,Kanwil DJP Jawa Barat I,OP NON KARYAWAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_184,2022,Wajib Pajak 184,KPP Pratama Mojokerto,Kanwil DJP Jawa Timur II,OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_183,2022,Wajib Pajak 183,KPP Pratama Jakarta Cengkareng,Kanwil DJP Jakarta Barat,OP NON KARYAWAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_045,2022,Wajib Pajak 045,KPP Madya Dua Tangerang,Kanwil DJP Banten,BADAN,0.0,0.0,0.0,0.0,0.0,0.1253686122363744,0.22,0.0,0.0,0.9994444444444444,0.0,3,1,X3Y1,Sedang
NPWP_182,2022,Wajib Pajak 182,KPP Pratama Ende,Kanwil DJP Nusa Tenggara,OP NON KARYAWAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_181,2022,Wajib Pajak 181,KPP Pratama Badung Utara,Kanwil DJP Bali,BADAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_046,2022,Wajib Pajak 046,KPP Pratama Tabanan,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_180,2022,Wajib Pajak 180,KPP Pratama Badung Utara,Kanwil DJP Bali,BADAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_179,2022,Wajib Pajak 179,KPP Pratama Batu,Kanwil DJP Jawa Timur III,OP NON KARYAWAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_047,2022,Wajib Pajak 047,KPP Pratama Denpasar Timur,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397748675.4,0.0,0.0,397748675.4,1,2,X1Y2,Rendah
NPWP_178,2022,Wajib Pajak 178,KPP Pratama Denpasar Timur,Kanwil DJP Bali,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_177,2022,Wajib Pajak 177,KPP Pratama Cibinong,Kanwil DJP Jawa Barat III,BADAN,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
